,text,Type
19908," Charlie Tulumello of Amherst, New York, put recording equipment in his yard after pro-Trump yard signs kept disappearing in the middle of the night . Seven signs in total disappeared before the culprit   former Keuka College administrator Norman Muir was finally caught . ‘This is supposed to be the United States of America. Free speech. Those things are not supposed be done,’ he said . “This person comes up on my property in the night, stealing. That s not right. I mean, these are stupid signs, but you re coming onto my property .",0
10863,"SETH RICH MURDER Has CHILLING SIMILARITIES To Clinton Body Count Victims. Just two months shy of the one-year anniversary of Rich s death, FOX 5 has learned there is new information that could prove these theorists right.Rod Wheeler, a private investigator hired by the Rich family, suggests there is tangible evidence on Rich s laptop that confirms he was communicating with WikiLeaks prior to his death.Now, questions have been raised on why D.C. police, the lead agency on this murder investigation for the past ten months, have insisted this was a robbery gone bad when there appears to be no evidence to suggest that.Wheeler, a former D.C. police homicide detective, is running a parallel investigation into Rich s murder. He said he believes there is a cover-up and the police department has been told to back down from the investigation. The police department nor the FBI have been forthcoming, said Wheeler. They haven t been cooperating at all. I believe that the answer to solving his death lies on that computer, which I believe is either at the police department or either at the FBI. I have been told both. When we asked Wheeler if his sources have told",0
7369," Karen Attiah, deputy digital editor for the Washington Post, says Donald Trump told her she was beautiful . The incident happened as Trump met with the editorial board of the Post on Monday . Trump has a history of bizarre behavior and language directed towards women . In other clips from his appearances on Stern, Trump could be heard ranking, rating and degrading various women .",0
4120,"This Man Just Exposed A Sorry Truth About A Vital Part Of Trump’s Campaign. We ve been drowning in the final stretch of this presidential election cycle since August. At three weeks out, both candidates should have their ground games well-established, and even be working overtime in a lot of cases, to reach as many voters as possible. Apparently, though, none of this is true for Trump. Like his outward campaign, his ground game has no cohesion or organization at all, and what few volunteers there are don t seem to care about the actual business of campaigning for a presidential candidate: [T]hese people cared more about the reality show Trump had created, then [sic] the reality of the campaign itself. That s what Scott David Shapiro, who maintains a news blog on Medium, said after he embarked on a suicide mission to see if Trump s ground game was as big league as he was making it sound.First things first it took Trump forever to open up local campaign offices a move especially perplexing in swing states where he needs a ground game and Shapiro wanted to see just what was going on after he heard that such",0
15606," Families of Japanese abducted by North Korea meet U.S. President Donald Trump, but want action to bring home loved ones . Trump has incorporated into his attacks on Pyongyang the story of Megumi Yokota, 13 when she was snatched off a lonely beach by North Korean agents 40 years ago . North Korea says Megumi, who hanged herself, was abducted in the 1970s and 1980s to train spies .",1
11300," Alberto Fujimori thanks President Pedro Pablo Kuczynski for pardoning him for graft and human rights crimes . The 79-year-old former authoritarian leader asks for forgiveness from the bottom of his heart . In a video on Facebook, he vows that as a free man, he would support Kuczzynski s call for reconciliation . The remarks come after two days of unrest as protesters slammed the pardon as an insult to victims .",1
11229, California Governor Jerry Brown warns of near-apocalyptic water shortages if $15 billion project gets bogged down . Plan to remove water north of the Sacramento-San Joaquin River Delta is opposed by many environmentalists . Brown insists it is crucial in shoring up water supplies in the drought-plagued state .,1
17074,"United Arab Emirates says to announce government reshuffle on Thursday. DUBAI (Reuters) - Sheikh Mohammed bin Rashid Al Maktoum, Prime Minister and Vice-President of the United Arab Emirates and ruler of Dubai, said in a tweet a government reshuffle will be announced later on Thursday. ",1
12046," Prime Minister Malcolm Turnbull seen weighing cabinet reshuffle to exploit poll win to refresh ministry . Changes could include Attorney-General George Brandis quitting parliament to become ambassador to Britain . Turnbull s center-right government regained razor-thin parliamentary majority through by-election win . Australian prime ministers are particularly susceptible to poor polling, as parties have power to call a spill .",1
15447," Martin O Malley was being interviewed at Netroots Nation conference and was making a statement about the need for civilian police review boards . The former Maryland governor was interrupted by a group of protestors chanting, “Say, black lives matter!” The statement is said to have drawn boos from the crowd . The incident illustrated neatly illustrated the cultural divide between the left and the rest of America .",0
16431," Rep. Trey Gowdy said Clinton s emails had been so thoroughly scrubbed that even God can't read them . BleachBit creator says Hillary may have chosen that program to scrub emails because it doesn't leave a money trail . Andrew Ziem, the creator of BleachBit, said he was not aware Clinton had applied BleachBit to her server until Gowdy mentioned it in a TV interview .",0
2931, U.S. judge orders Illinois to boost Medicaid bill payments . Judge Joan Lefkow also stipulates that Illinois send $2 billion to Medicaid providers . Ruling comes as Illinois lawmakers fail to reach consensus on a budget . Illinois’ unprecedented budget impasse has ballooned the state’s unpaid bill pile to about $15 billion .,1
8102, Charlotte not budging on ordinance that spurred North Carolina bathroom law . North Carolina's Republican governor and lawmakers blame Charlotte for spurring the state measure . Republican leaders of state legislature said they believed their colleagues would support repealing the law if Charlotte made the first move . Charlotte Mayor Jennifer Roberts said the city had no plans to reconsider the ordinance at a council meeting Monday night .,1
13010," Michael Sandford, 19, pled guilty on Sept 14th to being an illegal alien in possession of a firearm and disrupting an official function . Sandford could have faced 10 years in prison and a $250,000 fine for each offense . He acknowledged in the document that  it is almost certain  that he will be deported from the United States with no possibility of returning .",0
10150,"CRAZED PROTESTERS Pull Down Confederate Statue in Durham…What’s Next, The Guillotines? [VIDEO]. Crazed lunatic fringe elements of America have decided to target a Confederate statue in Durham, North Carolina. The video below is unbelievable where are the police to stop the destruction of property?Protestors in #Durham destroying a statue.Why is there zero consequences for this type of behavior?This is NOT acceptable. pic.twitter.com/l48O0Hvv9E  Mike (@Fuctupmind) August 14, 2017PROTESTERS KICKING THE STATUE IDIOTIC!Breaking: protesters have pulled down confederate statue in Durham. @WNCN pic.twitter.com/bfwogsDlY0  Amy Cutler (@AmyCutlerNews) August 14, 2017This Confederate soldier statue has stood in Durham County, North Carolina since 1924.TEAR THEM ALL DOWN. #durham #Charlottesville pic.twitter.com/Kp0tFK4aNR  Caroline Dwyer, AICP (@cdwyer0213) August 14, 2017Is anyone else as shocked as we are that this is allowed to happen? Tearing down a statue? Really?The Statue was there  In Memory of the Boys Who Wore the Grey It was to honor the veterans of the Civil War.Dear Antifa, while you are pulling those monuments, remember the Nazis did the same in Europe.#Durham pic.twitter.com/M8SfXAQYMi  Tennessee (@TEN_GOP) August 15, 2017",0
14045," Al Sharpton openly advocated for killing cops is the same guy MSNBC hired to host his own show . He makes regular visits to the White House to discuss strategy with our Race Baiter In Chief . Imagine if this was a white man calling for a group of people to kill cops . Yet, in the crazy world of the Left, his presence is not only tolerated, it is deemed necessary to stir up the vote for Democrats .",0
2913," Maryland, Delaware and Louisiana join a growing number of U.S. states that have refused to hand over voter data to a commission . More than 20 states, including Virginia, Kentucky, California, New York and Massachusetts, have declined to provide some or all of the information requested by the commission . President Donald Trump created the Presidential Advisory Commission on Election Integrity in May .",1
20119,"Japan's Abe says U.N. resolution must force change in North Korea. NEW DELHI (Reuters) - Japanese Prime Minister Shinzo Abe on Thursday called for strict enforcement of a U.N. resolution against North Korea over its latest nuclear test, saying the world must force a change in Pyongyang s policies. Abe made the remarks during a visit to India aimed at deepening economic and defenses ties to balance the weight of a rising China. New Delhi stood with Tokyo in its resolve for a firm response to Pyongyang, he said.   I d like to appeal to the world, together with Prime Minister Modi, that we need to have North Korea change its policy through the thorough implementation of the newly adopted Security Council resolution by the international community.   Prime Minister Modi and I are in full agreement on this,  he said.  The 15-member Security Council voted unanimously on a U.S.-drafted resolution and a new round of sanctions against North Korea on Monday in response to its latest and most powerful test, banning North Korea s textile exports that are the second largest only to coal and mineral, and capping fuel supplies. ",1
16865," In Brazil, forced labor has been defined as a form of modern-day slavery . A decree issued by the labor ministry on Monday changed the way slavery was defined . President Michel Temer said on Friday the decree would be modified but not revoked . Rights groups estimate hundreds of thousands of people work in slave-like conditions .",1
4976," Senators want food safety review when U.S. firms sold overseas . Legislation from Senators Chuck Grassley, an Iowa Republican, and Debbie Stabenow, a Michigan Democrat . The bill would add the secretaries of the Agriculture Department and Health and Human Services to a panel that reviews mergers and other deals . Lawmakers have been concerned about several deals in the farm sector .",1
2877," Donald Trump has declared January 20, 2017 as the  National Day of Patriotic Devotion . Frida Ghitis: This is what American politics has come to . She says the government devotes itself to the people, not vice versa . Ghitis says the president has turned the office of the presidency into a spectacle showboat of admiration for himself .",0
13025," Second Amendment rights group files $12 million defamation lawsuit against Katie Couric, director Stephanie Soechtig, Atlas Films, and Studio 3 Partners LLC d/b/a Epix for false and defamatory footage featured in the 2016 documentary film Under the Gun . The film portrays a fictional exchange in which members of the VCDL appear silent, stumped, and avoiding eye contact for nearly nine seconds after Couric asks a question about background checks . An unedited audio recording of the interview reveals that contrary to the portrayal in the film, the group members had immediately begun responding to Couric s question .",0
6055," Racist Prick Spits On Black Pair, Yells N****** B*tch while Starbucks Customers Silently Watch . Dr. Bob Hughes, an associate dean at Seattle University, was sitting with a colleague, just catching up when an openly racist jerk decided it would be fun to be a completely racist jerk as he walked on past . The other customers in the Starbucks just kind of sat there, doing their own things in a deafening silence .",0
1847,"Trump says DACA recipients should not worry about status. WASHINGTON (Reuters) - Youths who were brought to the United States illegally and gained protection under the Obama administration should not worry about their immigration status during the next six months before the program ends, U.S. President Donald Trump said on Thursday. “For all of those (DACA) that are concerned about your status during the 6 month period, you have nothing to worry about - No action!” Trump said in a post on Twitter, referring to the Deferred Action for Childhood Arrivals program. ",1
20163," Iranian state-run media in Tehran did indeed videotape the arrival of a January 17 flight carrying $400 million in cash from the United States and the money itself . The federal government shipped what many are calling a ransom payment in Euros and other non-U.S. currencies . The film describes the Obama administration s prisoner swap and Iran s cash windfall from Tehran s point of view as  a win-lose deal that benefits the Islamic Republic of Iran and hurts the U.S., DailyMail.com obtained .",0
1412," Donald Trump is back to shutting down reporters for trying to get to the bottom of his lies and scandals . During the press conference, Peter Baker from The New York Times tried to get Trump s insight into the investigation of Michael Flynn . Trump ignored the fact that most Americans want him the hell out of the White House and believe he s guilty .",0
2086," FBI Director James Comey has confirmed that the agency is not only investigating Russia s interference in the 2016 presidential election but is also taking a long hard look at whether Donald Trump and his campaign colluded with the foreign power . The most concerning part of Comey s statement came when he said that the investigation was initiated in July of 2016 . Somehow, even though the FBI was investigating the election on Trump s behalf and whether or not Trump was actually working with Russia, we still ended up with this man sitting in the White House .",0
22413,"PARTY CORRUPTION: Clinton Campaign Directly Tied to Disgraced DNC Consultant. 21st Century Wire says A tidal wave of revelations is pouring out of the Clinton campaign as the 2016 presidential election draws to a close. MELTDOWN The Clinton campaign continues to unravel following a series of troubling details. (Photo illustration 21WIRE)Over the weekend, it was discovered through a Wikileaks email dump, that Neera Tanden of the Center for American Progress, John Podesta s top aide, had an email exchange with Michael Lux of Progressive Strategies revealing that the Democratic consultant Robert Creamer of Democracy Partners, was closely allied with Clinton campaign manager Robby Mook. POLITICAL BOMBSHELL Clinton campaign manager Robby Mook had close ties to disgraced DNC consultant Robert Creamer. (Image Source: Lockerdome)Creamer gained national attention when he became the subject of video sting operation captured by the investigative non-profit Project Veritas. Not only was it revealed that the Creamer discussed ways to commit voter fraud and violence at Donald Trump rallies on camera he also met with White House officials some 342 times over the past year, including 47 private meetings with President Obama or other senior officials. DNC SCANDAL Robert Creamer of Democracy Partners and Democratic congresswoman",0
22442,"“PROPHECY” PROPAGANDA: Zionist Millennialism Refuted. Jay Dyer 21st Century WireDemonstrating where bad hermeneutics and theology lead, plus evidence of a continued conspiracy against historic Orthodox Christianity.Pastor John Hagee of the the large Cornerstone Church in San Antonio, Texas has recently published a book, In Defense of Israel, in which he outlines in detail his own total apostasy from the most basic of Christian beliefs that Christ was the Messiah! See our posted video where he states it plain as day. But what is the root of this problem? I say several things. Aside from his own dubious character and obvious bad will, the cause can be found in bad hermeneutics. Hermeneutics is the science of interpretation how we interpret he texts of Sacred Scripture.SEE ALSO: The Holy Business: End-Times Buffoonery in a Modern WorldWhen I saw Hagee on the Glenn Beck Show a couple weeks ago talking about Israel non-stop, I knew something was going on. I used to use John Hagee s Prophecy Study Bible as an idiot evangelical when I was 18 (several years ago), so I can speak from experience concerning Hagee (also having read some of his books and watched his prophecy lectures). END TIMES",0
3756," Vice President-elect Mike Pence was greeted with a chorus of boos as he made his way to his seat Friday night . The internet didn't let him live this down . The current star of Hamilton is the incomparable Javier Mu oz, an openly gay, HIV-positive actor . With his administration filling its ranks with white supremacists and Islamophobes, it is a virtual certainty that neither Pence nor Trump will be able to step foot in public without being met with some form of opposition .",0
9662, Two U.S. Senators urge auto safety regulators to name the makes and models of tens of millions of vehicles with potentially faulty Takata air bag inflators . The 50 million inflators that could still be recalled include 27 million side air bags and 23 million frontal air bags . The defect is linked to at least 11 deaths and more than 100 injuries worldwide since 2008 .,1
8908, Donald Trump says if elected president he would be open to drawing NATO forces into fight against ISIS . Trump made the comments in an interview with ABC News . The presumptive Republican presidential nominee has for months raised questions about the money the U.S. pours into NATO . Trump’s comments came amid an uproar over a meeting between former President Bill Clinton and Attorney General Loretta Lynch .,1
15404,"OBAMA’S ARMY: BLACK LIVES MATTER TERRORIST SHOUTS, “Burn Everything Down” IN LARGE ACTIVIST MEETING, AS CO-FOUNDER CHEERS [VIDEO]. And why is this person not up on domestic terrorism charges? Can you imagine a white person being caught on camera making such claims in a crowded room of white racists? Lorretta Lynch s DOJ would have already descended on them if the color of their skin was anything but black. We are witnessing something very ugly taking place in America, orchestrated by a man the majority of Americans voted for as their two-term president, because they actually believed he would make our country even better In rarely seen angle on the Black Lives Matter mob takeover of a NetRoots Nation Presidential Town Hall last weekend in Phoenix, Arizona, activists from the group scream explicit calls for violence and chaos, using an Occupy Wall Street style call-and-response technique to advocate burn everything down, shut this shit down, and rise the f*ck up. By the way, it s worth mentioning that spineless, pandering Democrat presidential candidate Martin O Malley was on the stage witnessing this whole scene unfold. Does anyone remember O Malley apologizing to the crowd following this event for having",0
16070, Wilbur Ross is one smart man when it comes to making an economic argument against the Paris Accord . He appeared on Neil Cavuto right before President Trump spoke and brilliantly discussed why we need to get out of this boondoggle that will drain America of trillions of dollars . Steve Mnuchin is stepping up because he wants to help Donald Trump Make America Great Again .,0
2328,"Angry and inspired: Democrats train new wave of candidates. ROCKVILLE, Md. (Reuters) - The 100 Democratic women who packed into a suburban Maryland conference room recently for a one-day training on how to run for political office were more than activists eager to battle President Donald Trump and his fellow Republicans. The teachers, students and business leaders were also a window into the future for a Democratic Party desperate for new blood, and into the booming effort to turn the left’s grassroots anti-Trump activism into a new wave of Democratic officeholders. As thousands of potential first-time candidates explore political bids in what Democratic veterans say is an unprecedented surge of activity, a broad but informal network of groups is beefing up efforts to train them for the task. The goal: turning neophytes into successful politicians who can win, giving the party a deep and diverse bench of up-and-coming progressive talent at all levels of government. “This era of Trump has made everybody just want to run for office, and it’s not easy,” said Josh Morrow, executive director of 314 Action, which since its founding last year has heard from about 6,000 scientists, engineers and mathematicians exploring political runs and",1
4577," Donald Trump's 1990 divorce from his first wife, Ivana, is controversial and, often times, muddy . Ivana Trump once revealed Donald Trump had raped her in a violent assault when he tore off her clothes and forced himself on her . The New York Times sued last month to have the records unsealed . In the state of New York, all divorce records are sealed unless deemed to be useful in  special circumstances .",0
1373," GOP Senator Tom Cotton is fuming that Notre Dame grads walked out of Mike Pence's commencement speech . Cotton says he deserves credit for speaking out on the spread of intolerance at college campuses . Cotton: ""If any young people needed to hear how important freedom of speech is to our country, it would be them""",0
12241,LIBERAL TREVOR NOAH Didn’t Count On Conservative Tomi Lahren Destroying Him On His Own Show…But That’s Exactly What She Did! [VIDEO].  ,0
422,"Trump considers plan to replace Tillerson with CIA chief: U.S. officials. WASHINGTON (Reuters) - President Donald Trump is considering a plan to oust Secretary of State Rex Tillerson, whose relationship has been strained by the top U.S. diplomat’s softer line on North Korea and other differences, senior administration officials said on Thursday. Tillerson would be replaced within weeks by CIA Director Mike Pompeo, a Trump loyalist and foreign policy hard-liner, under a White House plan to carry out the most significant staff shake-up so far of the Trump administration. Republican Senator Tom Cotton, one of Trump’s staunchest defenders in Congress, would be tapped to replace Pompeo at the Central Intelligence Agency, the officials told Reuters, speaking on condition of anonymity. It was not immediately clear whether Trump had given final approval to the reshuffle, but one of the officials said the president asked for the plan to be put together. Tillerson’s long-rumored departure would end a troubled tenure for the former Exxon Mobil Corp chief executive, who has been increasingly at odds with Trump over issues such as North Korea and under fire for planned cuts at the State Department. Tillerson was reported in October to have privately called",1
8872, Governor of Texas Unveils Detailed Plan To OVERTHROW The Federal Government. Texas Governor Greg Abbott (R) has unveiled a plan to change the Constitution. He wants to overturn federal authority away from every aspect of our government as it stands today. He seems to be calling forth for their to be an overthrow of the government by the states .,0
18953," The IPSA stock market index has surged 27 percent this year and is on track for its best year since 2010 . Conservative Sebastian Pinera is expected to come in first by a wide margin in November s first-round vote . But progressive candidates could form an alliance in a December runoff, traders and analysts say .",1
4129,"Waiting for green cards, Indian visa-holders see hope in Trump review. SAN FRANCISCO (Reuters) - When Gokul Gunasekaran was offered a full scholarship for a graduate program in electrical engineering at Stanford University, he saw it as the chance of a lifetime. He had grown up in Chennai, India, and had a solid job offer with a large oil company after getting his undergraduate degree. He came to America instead, got the Stanford degree and now works as an engineer at a data science startup in Silicon Valley. But for the past five years, he has been waiting for a green card that would give him full legal rights as a permanent resident. In the meantime, he is in a holding pattern on an H1-B visa, which permits him to live and work in the United States but does not allow him easily to switch jobs or start his own company. “It was a no-brainer when I came to this country, but now I’m kind of regretting taking that scholarship,” said Gunasekaran, 29, who is also vice president with a non-profit group called Immigration Voice that represents immigrants waiting for green cards. Immigration Voice estimates there are some 1.5",1
20623,"Dutch government: 2 dead, 43 wounded on Saint Martin. AMSTERDAM (Reuters) - The Dutch government on Friday raised its estimate of casualties caused on the Dutch part of the island of Saint Martin by Hurricane Irma to two dead, one of natural causes, and 43 wounded. Of those wounded, 11 are in critical condition, Interior Minister Ronald Plasterk said at a press conference. The island suffered widespread damage in the hurricane, including severe damage to homes, stores, ports, airports, gas stations and power stations.  Two hundred Dutch soldiers are assisting on the island from two nearby ships as it struggles to restore its airport and main harbor in order so that it can receive more aid. ",1
20403,"WHY OBAMA AND MUSLIM CIA DIRECTOR BRENNAN Have Opposing Views Of ISIS [Video]. Catherine Herridge is one of the best reporters on foreign policy and terrorism. She weighs in on the two opposing views within the Obama administration on ISIS. Last, week Obama and CIA Director Brennan had two different takes on our progress fighting ISIS. Here s the scoop: ",0
17729,"HOUSE OF LIES: Pedophilia Allegations Levied Against Anti-Trump Actor Kevin Spacey Who Has Secret History With Bill Clinton. How should the gay community feel about the Trump-hating actor, and Bill Clinton pal, Kevin Spacey, coming out as a gay man, as an excuse or distraction for attempting to molest a 14-year-old boy when he was 26-years -old? Star Trek: Discovery actor Anthony Rapp claims Kevin Spacey got sexually aggressive toward him when he was only 14 years old, and Spacey has responded by apologizing and coming out as gay.Rapp told BuzzFeed News the incident occurred in 1986 the 2 were both on Broadway at the time. Rapp says Spacey told him he was having a party and invited him.Rapp says he got bored and retreated to the bedroom to watch TV. He said Spacey came in the room and appeared drunk, then picked me up like a groom picks up the bride over the threshold. But I don t, like, squirm away initially, because I m like, What s going on? And then he lays down on top of me. Rapp says Spacey was holding him down as he struggled to get away, adding, He was trying to seduce",0
21326," Protesters at Dartmouth University disrupted students studying in the library, directing profanity towards white students and physically pushing others . The Dartmouth Review listed some of the epithets hurled by the protesters:  F*ck you, you filthy white fucks! Another woman was pinned to a wall by protesters who unleashed their insults in her face .",0
18795," German Chancellor Angela Merkel praises ideas of French President Emmanuel Macron for reform of EU . Merkel: Macron's ideas can form basis for intensive Franco-German cooperation . Macron called for cooperation on defense, immigration, tax and social policy . Merkel was speaking before a gathering of all EU leaders for a summit on Europe s digital economy .",1
16911,"BARACK OBAMA Finds Friend In “Fundamental Transformation Of America”: Shocking Way Ryan Betrayed Americans With $1.1 Trillion Bill. Funding for Sanctuary Cities, benefits for illegal aliens, fully funded refugee programs, quadruples number of work visas for foreigners, release of criminal aliens, tax credits for illegal aliens, locking in huge spending increases, making America less safe and more Rep. Paul Ryan s first major legislative achievement is a total and complete sell-out of the American people masquerading as an appropriations bill.Too harsh, you say? Let the programs, the spending, and the implications speak for themselves.(1) Ryan s Omnibus Fully Funds DACAThough much of the public attention has surrounded the President s 2014 executive amnesty, the President s 2012 amnesty quietly continues to churn out work permits and federal benefits for hundreds of thousands of illegal aliens. Paul Ryan s bill funds entirely this 2012 executive amnesty for DREAMers or illegal immigrants who came to the country as minors.Specifically, Division F of Ryan s omnibus bill contains no language that would prohibit the use of funds to continue the President s unconstitutional program. Obama s executive action, known as Deferred Action for Childhood Arrivals (DACA), has granted around 700,000 illegal aliens",0
15845, Russia sets out why it thinks U.N. wrongly accused Syria over sarin attack . Russian Defence Ministry official says Syrian Su-22 jet accused of dropping the chemical bomb was not physically close enough to the attack site to have been involved . Russia says U.S. accusations that Russia encouraged the use of chemical weapons in Syria are ungrounded .,1
17545," U.S. Congress tangles with Facebook, other social media firms over Russia probe . Sources: Investigators have found it hard to extract all the relevant information from Silicon Valley about alleged Russian activity . Facebook has said they are turning over information, but also that they are legally obligated to protect users' privacy . Sources say investigators are also pressing Twitter, Google and other companies for similar data .",1
9838," Pittsburgh Penguins have accepted invitation to attend White House ceremony celebrating their second-straight Stanley Cup championship . Penguins say they respect the institution of the Office of the President, and the long tradition of championship teams visiting the White House . Penguins: We attended White House ceremonies after previous championships touring the historic building and visiting briefly with Presidents George H.W. Bush and Barack Obama .",0
22344,"REVEALED: How US Government-Media Complex Are The Masters of ‘Fake News’. Washingtons BlogEveryone s talking about fake news Google Trends shows that starting in late October that phrase absolutely exploded in terms of internet searches:In the last month, Obama, Merkel, CNN, the New York Times, Washington Post and many other mainstream media have warned about the dangers of fake news.There certainly is a lot of fake news. And some of it is by anti-establishment types trying to discredit American institutions with false reports.But as we document below the government and mainstream media are by far the biggest purveyors of fake news.The Government s Been Deploying Propaganda On U.S. Soil for Many YearsThe United States Senate Select Committee to Study Governmental Operations with Respect to Intelligence Activities found in 1975 that the CIA submitted stories to the American press: After 1953, the network was overseen by Allen W. Dulles, director of the CIA. By this time, Operation Mockingbird had a major influence over 25 newspapers and wire agencies. The usual methodology was placing reports developed from intelligence provided by the CIA to witting or unwitting reporters. Those reports would then be repeated or cited by the preceding reporters which in",0
16124," U.S. urges cooperation after Kurdish leader's resignation. Urges Iraq and KRG to work urgently to resolve pending issues under Iraqi constitution . U.N. State Department spokeswoman: A strong KRG within a  unified and federal Iraq is essential to its long-term stability . Barzani s departure may yield greater Kurdish unity and improve odds of a resolution with Baghdad, official says .",1
15648, Western intelligence warned Saad al-Hariri of death plot: Asharq al-Awsat . But head of Lebanon's General Security said he had no information about an assassination plot . Hariri announced his surprise resignation on Saturday citing a plot to kill him . He criticized Iran and its Lebanese ally Hezbollah for their role in Lebanon .,1
18725, A video of two women fighting in the jetway and a Delta pilot smacking one of them was turned over to Delta management . They say they are taking the pilot s action  very seriously . The pilot has since been returned to work as his actions deescalated an altercation between passengers .,0
7104," Walter Scott, a father of four, was pulled over by Officer Michael Slager in North Charleston, South Carolina on April 4th, 2015 . A bystander recorded the incident on a cell phone to the horrifying dismay of the country . The city agreed to pay Scott s family $6.5 million, and a grand jury handed down a murder indictment for Slager . The officer is currently out on bail of $500,000 awaiting trial later this year .",0
7409," Idaho Sheriff Craig Rowland said that most rapes are actually consensual sex . He doesn't believe rape kits should be sent to the lab . Rowland then went on to paint himself as a victim here, talking about cyber-bullying . He apologized to anyone who he might have offended with his statement as his main responsibility is to the public .",0
10092," State Department says halts review of Clinton emails at FBI request . Spokeswoman: ""Internal review is on hold, pending completion of the FBI’s work"" Clinton is the front-runner in the race for the Democratic Party nomination in the Nov. 8 presidential election . The Federal Bureau of Investigation is probing the arrangement .",1
19234," Barron Trump Up Past Bedtime is set for the Revival Theater in Hyde Park, the neighborhood of Trump s predecessor former President Barack Obama . The play stars comedian Shannon Noll as Barron Trump, the ten-year-old son of newly sworn in President Donald Trump and First Lady Melania Trump . Noll was inspired to take on the title role due to her resemblance to the youngest Trump child .",0
13700,"Pakistan army's role in focus as Islamists end blasphemy blockade. ISLAMABAD (Reuters) - When hardline Pakistani Islamists signed an agreement with the government on Monday to end a crippling blockade of the nation s capital, the text of their deal concluded by thanking the army chief who it said had saved the nation from a big catastrophe . The effusive praise for General Qamar Javed Bajwa s role as mediator has triggered some concern among moderate politicians and criticism from a judge in Islamabad, where 36 hours earlier the civilian government had called in the army to restore order after police clashed with the entrenched Islamists. Seven people had been killed and nearly 200 wounded in an unsuccessful police-led operation to clear the Islamist protesters, who accused a government minister of blasphemy. Instead of sending in troops, General Bajwa requested a meeting with Prime Minister Shahid Khaqi Abbasi on Sunday. The next day, the government capitulated and met most of the Islamists demands, including the resignation of Law Minister Zahid Hamid, who stood down. A High Court judge issued an order on Monday demanding the government explain why the military had helped negotiate the deal. Judge Shaukat Aziz Siddiqui",1
21922, The next four years are likely to coincide with an overall decline in US influence in the world . Rise of new world powers at the end of the 20th century and beginning of 21st century has challenged the US global domination . Washington s challenges with the new multipolar world order in recent years has resulted in the decline of US influence .,0
9354," Judi Gibbs and Bill Puterbaugh died in a house fire in Fordyce, Arkansas in 1986 amid rumors she had photos proving she and the then-Governor of Arkansas had been regular sex partners . Gibbs' sister Martha says she has always been convinced that Bill Clinton was responsible for the fire, but she has no proof . Gibbs was the sixth of seven children born to a hardscrabble family in Sims, a two-hour drive west of Little Rock .",0
12847," Australia becomes 26th nation to legalise same-sex marriage on Thursday . Fewer than five of 150 MPs voted against it, prompting cheers and singing from a packed parliament public gallery . Lawmakers cast aside a conservative push to allow religious objectors to refuse service to gay couples . The law, which takes effect from Saturday, will also recognise marriages solemnised in foreign countries .",1
14023," Wolfgang Schaeuble, the new president of the Bundestag, announced a ban on sending tweets from inside the parliament chamber . German politicians are far behind other countries in addressing voters via Twitter s short messaging service . The measure has not gone unprotested, but the measure has been protested by lawmakers .",1
20215,"BREAKING: IRS Will Investigate “Lawless” CLINTON FOUNDATION On Charges Of “Public Corruption”…”Pay To Play” Activities. The house of cards is falling as America eagerly awaits Wikileaks next major dump that promises to expose evidence that should indict Hillary IRS Commissioner John Koskinen referred congressional charges of corrupt Clinton Foundation  pay-to-play  activities to his tax agency s exempt operations office for investigation, The Daily Caller News Foundation has learned.The request to investigate the Bill, Hillary and Chelsea Clinton Foundation on charges of  public corruption  was made in a July 15 letter by 64 House Republicans to the IRS, FBI and Federal Trade Commission (FTC). They charged the foundation is  lawless. The initiative is being led by Rep. Marsha Blackburn, a Tennessee Republican who serves as the vice chairwoman of the House Committee on Energy and Commerce, which oversees FTC. The FTC regulates public charities alongside the IRS.The lawmakers charged the Clinton Foundation is a  lawless  pay-to-play  enterprise that has been operating under a cloak of philanthropy for years and should be investigated. Read more: Daily Caller",0
17043," Iran's military chief warns Israel against breaching Syrian airspace and territory . General Mohammad Baqeri pledged to increase cooperation with Syria s military to fight Israel and insurgents . Iranian forces and Iran-backed Shi ite militias, including Hezbollah, have provided critical military support to Damascus . Tensions have risen this year between Lebanon s Hezbollah and Israel, which have avoided major conflict since 2006 .",1
7210, Bernie Sanders will become outreach chair on the Senate Democrats leadership team . He will try to engage Americans who feel disconnected from the political process . Sanders is an Independent from Vermont but tends to vote with Democrats . Democrats are regrouping after the upset victory of Republican Donald Trump and after Republicans gained control of the Senate and House .,1
584," Trump open to dropping healthcare provision in Senate tax bill: aide says . White House budget director Mick Mulvaney: ""If we can repeal part of Obamacare as part of a tax bill ... that can pass, that’s great"" Tax bill would remove a requirement in Obamacare that taxes Americans who decline to buy health insurance . Getting rid of the mandate is one of Republican Trump's main goals .",1
6513," Trump Organization says it has no plans to build Buenos Aires tower . City government declined to authorize permit to build office tower linked to U.S. president-elect . Trump has real estate and leisure holdings all over the world, sparking concerns his investments could color his decision-making after he becomes president on Jan. 20 . Trump said he will remove himself from business operations before taking office .",1
20200," Khalid A. Fathey, 49, is accused of raping and molesting a grade-school girl in Washington state . Fathey is charged with one count of first-degree rape of a child and two counts of child molestation . The girl later disclosed to her mother that Fathey allegedly kissed her and touched her sexually several times over a six-month period . The U.S. Marshals Service discovered Fathey left Seattle on July 23 on a plane bound for Dubai .",0
